Department,Course Code,Human Health,Data and Computation,AI,Clean Energy and Materials,Climate,Science and Society,Faculty of Arts: Ways of Knowing,Notes
MATH,MATH_V 340,,,,,,,,
MATH,MATH_V 342,,,,,,,,
MATH,MATH_V 344,,,,,,,,
MATH,MATH_V 360,,,,,,,,
MATH,MATH_V 361,,,,,,,,
MATH,MATH_V 398,,,,,,,,
MATH,MATH_V 399,,,,,,,,
MATH,MATH_V 400,,,,,,,,
MATH,MATH_V 404,,,,,,,,
MATH,MATH_V 405,,,,,,,,
MATH,MATH_V 418,,,,,,,,
MATH,MATH_V 420,,,,,,,,
MATH,MATH_V 422,,,,,,,,
MATH,MATH_V 425,,,,,,,,
MATH,MATH_V 426,,,,,,,,
MATH,MATH_V 437,,,,,,,,
MATH,MATH_V 440,,,,,,,,
MATH,MATH_V 446,,,,,,,,
MATH,MATH_V 448,,,,,,,,
MATH,MATH_V 449,,,,,,,,
MATH,MATH_V 450,,,,,,,,
MATH,MATH_V 498,,,,,,,,
MATH,MATH_V 499,,,,,,,,
MICB,MICB_V 203,,,,,,,,
MICB,MICB_V 211,,,,,,,,
MICB,MICB_V 212,,,,,,,,
MICB,MICB_V 301,,,,,,,,
MICB,MICB_V 302,,,,,,,,
MICB,MICB_V 306,,,,,,,,
MICB,MICB_V 322,,,,,,,,
MICB,MICB_V 398,,,,,,,,
MICB,MICB_V 399,,,,,,,,
MICB,MICB_V 402,,,,,,,,
MICB,MICB_V 405,,,,,,,,
MICB,MICB_V 407,,,,,,,,
MICB,MICB_V 430,,,,,,,,
MICB,MICB_V 448,,,,,,,,
MICB,MICB_V 449,,,,,,,,
MICB,MICB_V 471,,,,,,,,
MICB,MICB_V 475,,,,,,,,
MICB,MICB_V 498,,,,,,,,
MICB,MICB_V 499,,,,,,,,
MRNE,MRNE_V 400,,,,,,,,
MRNE,MRNE_V 415,,,,,,,,
MRNE,MRNE_V 425,,,,,,,,
MRNE,MRNE_V 437,,,,,,,,
MRNE,MRNE_V 480,,,,,,,,
NSCI,NSCI_V 140,,,,,,X,,
NSCI,NSCI_V 200,,,,,,,,
NSCI,NSCI_V 300,,,,,,,,
NSCI,NSCI_V 301,,,,,,X,,
NSCI,NSCI_V 302,,,,,,,,
NSCI,NSCI_V 303,,X,,,,,,
NSCI,NSCI_V 311,,,,,,,,
NSCI,NSCI_V 398,,,,,,,,
NSCI,NSCI_V 399,,,,,,,,
NSCI,NSCI_V 400,,,,,,,,
NSCI,NSCI_V 448,,,,,,,,
NSCI,NSCI_V 498,,,,,,,,
NSCI,NSCI_V 499,,,,,,,,
PCTH,PCTH_V 201,,,,,,,,
PCTH,PCTH_V 301,,,,,,,,
PCTH,PCTH_V 302,,,,,,,,
PCTH,PCTH_V 325,,,,,,,,
PCTH,PCTH_V 398,,,,,,,,
PCTH,PCTH_V 399,,,,,,,,
PCTH,PCTH_V 400,,,,,,,,
PCTH,PCTH_V 402,,,,,,,,
PCTH,PCTH_V 404,,,,,,,,
PCTH,PCTH_V 448,,,,,,,,
PCTH,PCTH_V 449,,,,,,,,
PCTH,PCTH_V 498,,,,,,,,
PCTH,PCTH_V 499,,,,,,,,
PHAS,PHYS_V 100,,,,,,,,
PHAS,PHYS_V 106,,,,,,,,
PHAS,PHYS_V 117,,,,,,,,
PHAS,PHYS_V 119,,,,,,,,
PHAS,PHYS_V 131,,,,,,,,
PHAS,PHYS_V 157,,,,,,,,
PHAS,PHYS_V 170,,,,,,,,
PHAS,PHYS_V 200,,,,,,,,
PHAS,PHYS_V 210,,,,,,,,
PHAS,PHYS_V 219,,,,,,,,
PHAS,PHYS_V 298,,,,,,,,
PHAS,PHYS_V 299,,,,,,,,
PHAS,PHYS_V 301,,,,,,,,
PHAS,PHYS_V 304,,,,,,,,
PHAS,PHYS_V 309,,,,,,,,
PHAS,PHYS_V 312,,,,,,,,
PHAS,PHYS_V 315,,,,,,,,
PHAS,PHYS_V 333,,,,X,,,,
PHAS,PHYS_V 348,,,,,,,,
PHAS,PHYS_V 349,,,,,,,,
PHAS,PHYS_V 399,,,,,,,,
PHAS,PHYS_V 400,,,,,,,,
PHAS,PHYS_V 404,,,,,,,,
PHAS,PHYS_V 405,,,,,,,,
PHAS,PHYS_V 407,,,,,,,,
PHAS,PHYS_V 409,,,,,,,,
PHAS,PHYS_V 410,,,,,,,,
PHAS,PHYS_V 420,,,,,,,,
PHAS,PHYS_V 447,,,,,,,,
PHAS,PHYS_V 449,,,,,,,,
PHAS,PHYS_V 498,,,,,,,,
PHAS,PHYS_V 499,,,,,,,,
SCIE,SCIE_V 1,,,,,,,,
SCIE,SCIE_V 100,,,,,,,,
SCIE,SCIE_V 113,,,,,,,,
SCIE,SCIE_V 120,,,,,,,,
SCIE,SCIE_V 300,,,,,,,,
SCIE,SCIE_V 320,,,,,,X,,
SCIE,SCIE_V 400,,,,,,,,
SCIE,SCIE_V 420,,,,,,X,,
STAT,STAT_V 200,,,,,,,,
STAT,STAT_V 201,,,,,,,,
STAT,STAT_V 203,,,,,,,,
STAT,STAT_V 251,,,,,,,,
STAT,STAT_V 300,,,,,,,,
STAT,STAT_V 301,,,,,,,,
STAT,STAT_V 302,,,,,,,,
STAT,STAT_V 305,,,,,,,,
STAT,STAT_V 306,,,,,,,,case studies using 'environmental data'
STAT,STAT_V 344,,,,,,,,
STAT,STAT_V 398,,,,,,,,
STAT,STAT_V 399,,,,,,,,
STAT,STAT_V 404,,,,,,,,
STAT,STAT_V 406,,,,,,,,
STAT,STAT_V 443,,,,,,,,case studies using 'environmental data'
STAT,STAT_V 449,,,,,,,,
STAT,STAT_V 460,,,,,,,,
STAT,STAT_V 498,,,,,,,,
STAT,STAT_V 499,,,,,,,,
BIOC,FSCT_V 499,,,,,,,,
ASIC,ASIC_V 200,,,,,,,,
ASIC,ASIC_V 220,,,,,,,,
PHAS,ASTR_V 102,,,,,,,,
PHAS,ASTR_V 205,,,,,,,,
PHAS,ASTR_V 311,,,,,,,,
PHAS,ASTR_V 403,,,,,,,,
PHAS,ASTR_V 405,,,,,,,,
PHAS,ASTR_V 407,,,,,,,,
EOAS,ATSC_V 303,,,,,,,,
EOAS,ATSC_V 405,,,,,,,,
BIOC,BIOC_V 203,,,,,,,,
BIOC,BIOC_V 304,,,,,,,,
BIOC,BIOC_V 306,,,,,,,,
BIOC,BIOC_V 403,,,,,,,,
BIOC,BIOC_V 421,,,,,,,,
BIOC,BIOC_V 430,,,,,,,,
BIOC,BIOC_V 440,,,,,,,,
BIOC,BIOC_V 450,,,,,,,,
BIOC,BIOC_V 460,,,,,,,,
BIOC,BIOC_V 470,,,,,,,,
BIOL,BIOL_V 201,,,,,,,,
BIOL,BIOL_V 204,,,,,,,,
BIOL,BIOL_V 210,,,,,,,,
BIOL,BIOL_V 260,,,,,,,,
BIOL,BIOL_V 302,,,,,,,,
BIOL,BIOL_V 303,,,,,,,,
BIOL,BIOL_V 310,,,,,,,,
BIOL,BIOL_V 314,,,,,,,,
BIOL,BIOL_V 320,,,,,,,,
BIOL,BIOL_V 321,,,,,,,,
BIOL,BIOL_V 326,,,,,,,,
BIOL,BIOL_V 328,,,,,,,,
BIOL,BIOL_V 332,,,,,,,,
BIOL,BIOL_V 335,,,,,,,,
BIOL,BIOL_V 337,,,,,,,,
BIOL,BIOL_V 340,,,,,,,,
BIOL,BIOL_V 345,,,,,,,,
BIOL,BIOL_V 346,,,,,,,,
BIOL,BIOL_V 348,,,,,,,,
BIOL,BIOL_V 352,,,,,,,,
BIOL,BIOL_V 362,,,,,,,,
BIOL,BIOL_V 364,,,,,,,,
BIOL,BIOL_V 403,,,,,,,,
BIOL,BIOL_V 404,,,,,,,,
BIOL,BIOL_V 406,,,,,,,,
BIOL,BIOL_V 412,,,,,,,,
BIOL,BIOL_V 416,,,,,,,,
BIOL,BIOL_V 420,,,,,,,,
BIOL,BIOL_V 424,,,,,,,,
BIOL,BIOL_V 430,,,,,,,,
BIOL,BIOL_V 432,,,,,,,,
BIOL,BIOL_V 433,,,,,,,,
BIOL,BIOL_V 434,,,,,,,,
BIOL,BIOL_V 438,,,,,,,,
BIOL,BIOL_V 439,,,,,,,,
